관리번호,정류장명,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
250000993,서천리입구,,,,,,,
250000994,방동2리입구(보건소),,,,,,,
250000995,월송1리,,,,,,,
250000996,월송2리,,,,,,,
250000997,신매1리,,,,,,,
250000998,삼악산,,,,,,,
250000999,과수원마을입구,,,,,,,
250001000,(구)싸이클경기장,,,,,,,
265000717,용산3리1반,,,,,,,
265000718,용산3리1반,,,,,,,
250001003,수동1리,,,,,,,
250001004,당림삼거리,,,,,,,
250001005,강촌리,,,,,,,
250001006,봉명2리,,,,,,,
265000687,신북발산,,,,,,,
250001013,동산면행복센터,,,,,,,
265000722,KT,,,,,,,
250001015,조양1리,,,,,,,
250001016,부사원고개,,,,,,,
250001017,조양3리,,,,,,,
250001018,조양4리,,,,,,,
250001019,새술막,,,,,,,
250001020,대추나무골,,,,,,,
250001021,고탄입구,,,,,,,
250001022,눈썰매장입구,,,,,,,
250001023,지암리(물레방아민박),,,,,,,
250001024,지암리(4),,,,,,,
250001025,지암리(3),,,,,,,
250001026,가족쉼터,,,,,,,
250001027,오월교입구,,,,,,,
250001028,고성2리선돌입구,,,,,,,
250001029,고성2리,,,,,,,
250001030,고성2리용화산,,,,,,,
250001031,고성2리(초설),,,,,,,
250001032,고성2리1반,,,,,,,
250001033,고탄리,,,,,,,
250001034,송암리,,,,,,,
250001035,송암리마을회관,,,,,,,
250001036,송암리(인삼밭),,,,,,,
250001037,솔바우농원,,,,,,,
250001038,송암리(밤나무),,,,,,,
250001039,인람리(1),,,,,,,
250001040,인람리(2),,,,,,,
250001041,솔바우농원,,,,,,,
250001042,송암리(밤나무),,,,,,,
250001043,인람리(1),,,,,,,
250001044,인람리(2),,,,,,,
250001045,인람리(하우스),,,,,,,
250001046,송암삼거리,,,,,,,
250001047,해피초원목장,,,,,,,
250001048,올미,,,,,,,
250001049,올미,,,,,,,
250001050,국군병원사거리,,,,,,,
265000689,지내2리마을회관,,,,,,,
265000747,지내보건진료소,,,,,,,
265000760,팔미3교,,,,,,,
265000759,팔미3교,,,,,,,
250001055,신촌리종점,,,,,,,
250001056,고은리입구,,,,,,,
265000711,사암1리,,,,,,,
250001058,천리터,,,,,,,
250001059,추곡1리1반,,,,,,,
250001060,추곡(낚시터),,,,,,,
250001061,추곡터널,,,,,,,
250001062,발산1리,,,,,,,
250001065,가정1리마을회관,,,,,,,
250001066,가정중학교,,,,,,,
250001067,후동리,,,,,,,
250001068,후동리,,,,,,,
250001069,소주고개쉼터,,,,,,,
265000704,발산2리(치안센터),,,,,,,
250001071,가정진료소,,,,,,,
250001072,발산2리(치안센터),,,,,,,
265000719,용산3리5반,,,,,,,
265000720,용산3리5반,,,,,,,
250001075,탑골,,,,,,,
250001077,정족1리입구,,,,,,,
250001078,정족1리,,,,,,,
250001079,증2리2반,,,,,,,
250001080,금병초교,,,,,,,
265000763,팔미교,,,,,,,
250001082,정족1리,,,,,,,
250027151,정족1리입구,,,,,,,
250001084,조양2리,,,,,,,
250001085,조양2리,,,,,,,
250001086,조양2리,,,,,,,
250001087,조양2리,,,,,,,
250001089,(구)상걸초,,,,,,,
250001090,(구)상걸초,,,,,,,
250001091,상걸교,,,,,,,
250001092,상걸교,,,,,,,
265000688,신북발산,,,,,,,
250001094,강촌1리삼거리,,,,,,,
250001095,창촌1리,,,,,,,
250001096,창촌1리,,,,,,,
250001097,창촌3리,,,,,,,
250001098,창촌3리,,,,,,,
250001099,후동1리,,,,,,,
250001100,후동1리,,,,,,,
250001101,박암리,,,,,,,
250001102,박암리,,,,,,,
250026614,박암리,,,,,,,
250026613,박암리,,,,,,,
250001105,가정3리,,,,,,,
250001106,가정3리,,,,,,,
250001107,강원학생교육원,,,,,,,
250001108,우러니입구,,,,,,,
250001109,광판1리,,,,,,,
250001110,광판1리,,,,,,,
250001117,정보화마을,,,,,,,
250001118,정보화마을,,,,,,,
250001119,양지마을,,,,,,,
250001120,수동1리,,,,,,,
250001121,수동1리,,,,,,,
250001122,혈동2리,,,,,,,
250001123,팔미3리,,,,,,,
250001124,팔미3리,,,,,,,
250001125,오항리,,,,,,,
250001126,천리터,,,,,,,
250001127,추곡터널,,,,,,,
250001129,백양2리,,,,,,,
250001130,백양2리,,,,,,,
250001131,백양2리,,,,,,,
250001132,백양2리,,,,,,,
250026612,백양1리,,,,,,,
250001134,당림리,,,,,,,
250001135,당림1리,,,,,,,
250001136,당림1리,,,,,,,
250001137,당림1리,,,,,,,
265000690,지내2리마을회관,,,,,,,
250001139,방동1리,,,,,,,
250001140,인형극장,,,,,,,
250001141,송암리,,,,,,,
250001142,고성2리1반,,,,,,,
250001143,해피초원목장,,,,,,,
250001144,눈썰매장입구,,,,,,,
250001145,지암리,,,,,,,
250001146,지암리,,,,,,,
250001147,지암리,,,,,,,
250001148,지암리,,,,,,,
265000691,오탄리,,,,,,,
250001150,신포리,,,,,,,
250001151,신포리,,,,,,,
265000694,매운탕골입구,,,,,,,
250001153,고탄입구,,,,,,,
250001154,용산2리,,,,,,,
250001155,용산2리,,,,,,,
250001156,용산3리마을회관,,,,,,,
250001157,용산1리,,,,,,,
250001158,용산1리,,,,,,,
250027103,지내2리응달말,,,,,,,
265000695,매운탕골입구,,,,,,,
250001161,사농현대A,,,,,,,
250001162,성신양회,,,,,,,
265000762,폴리텍입구,,,,,,,
265000692,서인병원,,,,,,,
265000693,서인병원,,,,,,,
250001166,학곡리,,,,,,,
250001167,학곡리,,,,,,,
265000697,삼천동사거리,,,,,,,
265000698,증리,,,,,,,
250001170,뜨란채A,,,,,,,
250001171,퇴계우성A,,,,,,,
250001172,로데오거리,,,,,,,
250001173,증3리,,,,,,,
250001174,증2리2반,,,,,,,
265000699,증리,,,,,,,
265000724,번개시장입구,,,,,,,
265000725,번개시장입구,,,,,,,
