우선순위,관리번호,정류장명,한낮승차,로드뷰URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
65,250001145,지암리,22,"https://map.kakao.com/link/roadview/37.97758,127.60217",,,,,,,
66,250001146,지암리,22,"https://map.kakao.com/link/roadview/37.97912,127.60405",,,,,,,
67,250001147,지암리,22,"https://map.kakao.com/link/roadview/37.98263,127.61637",,,,,,,
68,250001811,지암리,22,"https://map.kakao.com/link/roadview/37.97939,127.62239",,,,,,,
69,250001814,지암리,22,"https://map.kakao.com/link/roadview/37.97931,127.62221",,,,,,,
70,250001817,지내3리,22,"https://map.kakao.com/link/roadview/37.94818,127.73085",,,,,,,
71,250001818,지내3리,22,"https://map.kakao.com/link/roadview/37.94822,127.73068",,,,,,,
72,257001455,밤나무골,22,"https://map.kakao.com/link/roadview/37.68845,127.68835",,,,,,,
73,257001456,밤나무골,22,"https://map.kakao.com/link/roadview/37.68851,127.68816",,,,,,,
74,250001229,중부지구대,356,"https://map.kakao.com/link/roadview/37.87533,127.73851",,,,,,,
75,250026809,도재활병원삼거리,344,"https://map.kakao.com/link/roadview/37.90307,127.73835",,,,,,,
76,250001022,눈썰매장입구,20,"https://map.kakao.com/link/roadview/37.97498,127.59894",,,,,,,
77,250001855,KBS방송국,290,"https://map.kakao.com/link/roadview/37.86791,127.72304",,,,,,,
78,250002235,보안사거리,290,"https://map.kakao.com/link/roadview/37.87502,127.75271",,,,,,,
79,250001263,향교,286,"https://map.kakao.com/link/roadview/37.8817,127.73523",,,,,,,
80,250001563,도민일보,284,"https://map.kakao.com/link/roadview/37.89053,127.74479",,,,,,,
81,250001564,도민일보,284,"https://map.kakao.com/link/roadview/37.89017,127.74313",,,,,,,
82,250000004,거두리주공A,260,"https://map.kakao.com/link/roadview/37.85665,127.75863",,,,,,,
83,250001409,청실A,252,"https://map.kakao.com/link/roadview/37.87262,127.7584",,,,,,,
84,250001963,우석초교,252,"https://map.kakao.com/link/roadview/37.86465,127.75113",,,,,,,
85,250001534,춘천동원학교,250,"https://map.kakao.com/link/roadview/37.93016,127.78875",,,,,,,
86,250001535,춘천동원학교,250,"https://map.kakao.com/link/roadview/37.93031,127.78858",,,,,,,
87,250001460,발산2리,18,"https://map.kakao.com/link/roadview/37.95568,127.76123",,,,,,,
88,250001461,발산2리,18,"https://map.kakao.com/link/roadview/37.9576,127.76296",,,,,,,
89,250001462,발산2리,18,"https://map.kakao.com/link/roadview/37.96058,127.76575",,,,,,,
90,250001463,발산2리,18,"https://map.kakao.com/link/roadview/37.96049,127.76568",,,,,,,
91,250001464,발산2리,18,"https://map.kakao.com/link/roadview/37.96167,127.7623",,,,,,,
92,250001465,발산2리,18,"https://map.kakao.com/link/roadview/37.73968,127.63277",,,,,,,
93,250001466,발산2리,18,"https://map.kakao.com/link/roadview/37.7396,127.63291",,,,,,,
94,250026874,발산2리,18,"https://map.kakao.com/link/roadview/37.96157,127.76235",,,,,,,
95,250026875,발산2리,18,"https://map.kakao.com/link/roadview/37.95766,127.76284",,,,,,,
96,250026876,발산2리,18,"https://map.kakao.com/link/roadview/37.95571,127.76111",,,,,,,
97,250026880,윗샘밭종점,228,"https://map.kakao.com/link/roadview/37.93158,127.7914",,,,,,,
98,250001987,모아엘가A,220,"https://map.kakao.com/link/roadview/37.87293,127.72193",,,,,,,
99,265000670,파크자이A,219,"https://map.kakao.com/link/roadview/37.86746,127.70852",,,,,,,
100,265000671,파크자이A,219,"https://map.kakao.com/link/roadview/37.86806,127.70783",,,,,,,
101,250026892,천년나무A,204,"https://map.kakao.com/link/roadview/37.91277,127.73747",,,,,,,
102,250026893,천년나무A,204,"https://map.kakao.com/link/roadview/37.91296,127.73764",,,,,,,
103,250001386,교육대학교,198,"https://map.kakao.com/link/roadview/37.85718,127.7471",,,,,,,
104,250026768,e편한세상,194,"https://map.kakao.com/link/roadview/37.8841,127.7266",,,,,,,
105,250026917,강원고앞,194,"https://map.kakao.com/link/roadview/37.89519,127.75523",,,,,,,
106,250001071,가정진료소,16,"https://map.kakao.com/link/roadview/37.73456,127.57581",,,,,,,
107,250001970,한강수력본부,16,"https://map.kakao.com/link/roadview/37.96255,127.67899",,,,,,,
108,250001994,오탄1리,16,"https://map.kakao.com/link/roadview/38.0412,127.62759",,,,,,,
109,250001995,오탄1리,16,"https://map.kakao.com/link/roadview/38.04115,127.62723",,,,,,,
110,250001999,오탄1리,16,"https://map.kakao.com/link/roadview/38.04292,127.62181",,,,,,,
111,250026596,간척사거리,16,"https://map.kakao.com/link/roadview/38.02793,127.81727",,,,,,,
112,263001765,간척사거리,16,"https://map.kakao.com/link/roadview/38.02902,127.81727",,,,,,,
113,263001766,간척사거리,16,"https://map.kakao.com/link/roadview/38.02854,127.81599",,,,,,,
114,250000005,강원지방경찰청,182,"https://map.kakao.com/link/roadview/37.86253,127.75868",,,,,,,
115,250000006,강원지방경찰청,182,"https://map.kakao.com/link/roadview/37.86246,127.75841",,,,,,,
116,265000721,중앙시장입구,180,"https://map.kakao.com/link/roadview/37.87816,127.72459",,,,,,,
117,250027098,중앙시장입구,180,"https://map.kakao.com/link/roadview/37.87807,127.72437",,,,,,,
118,250027123,안보2리3반,15,"https://map.kakao.com/link/roadview/37.85332,127.57897",,,,,,,
119,250027124,안보2리3반,15,"https://map.kakao.com/link/roadview/37.8533,127.57885",,,,,,,
120,250001529,등선폭포,172,"https://map.kakao.com/link/roadview/37.82477,127.66073",,,,,,,
121,250001530,등선폭포,172,"https://map.kakao.com/link/roadview/37.82496,127.66041",,,,,,,
122,250026785,오월2리,14,"https://map.kakao.com/link/roadview/37.96821,127.62715",,,,,,,
123,250026786,오월2리,14,"https://map.kakao.com/link/roadview/37.96965,127.62918",,,,,,,
124,250026787,오월2리,14,"https://map.kakao.com/link/roadview/37.97158,127.63558",,,,,,,
125,250026789,오월2리,14,"https://map.kakao.com/link/roadview/37.97519,127.6417",,,,,,,
126,250027046,오월2리,14,"https://map.kakao.com/link/roadview/37.97515,127.64154",,,,,,,
127,250027048,오월2리,14,"https://map.kakao.com/link/roadview/37.96975,127.62915",,,,,,,
128,250027049,오월2리,14,"https://map.kakao.com/link/roadview/37.96817,127.62729",,,,,,,
129,250027050,오월2리,14,"https://map.kakao.com/link/roadview/37.97148,127.63562",,,,,,,
130,257001479,반곡,14,"https://map.kakao.com/link/roadview/37.69461,127.66785",,,,,,,
131,257001480,반곡,14,"https://map.kakao.com/link/roadview/37.69372,127.66711",,,,,,,
132,250001874,정부합동청사,164,"https://map.kakao.com/link/roadview/37.88843,127.74964",,,,,,,
133,250026588,중앙하이츠2차,162,"https://map.kakao.com/link/roadview/37.85698,127.73563",,,,,,,
134,250001655,구곡폭포종점,154,"https://map.kakao.com/link/roadview/37.79745,127.6165",,,,,,,
135,265000867,안마산로입구,146,"https://map.kakao.com/link/roadview/37.85875,127.71848",,,,,,,
136,250001199,폴리텍2캠퍼스,144,"https://map.kakao.com/link/roadview/37.91212,127.73956",,,,,,,
137,250026527,성심경로당,144,"https://map.kakao.com/link/roadview/37.88122,127.73981",,,,,,,
138,250026517,성심경로당,144,"https://map.kakao.com/link/roadview/37.88121,127.74002",,,,,,,
139,250026550,소양강처녀상,140,"https://map.kakao.com/link/roadview/37.89369,127.72589",,,,,,,
140,250026599,석사교사거리,134,"https://map.kakao.com/link/roadview/37.85738,127.7397",,,,,,,
141,250001288,무릉공원,132,"https://map.kakao.com/link/roadview/37.85609,127.73933",,,,,,,
142,265000697,삼천동사거리,126,"https://map.kakao.com/link/roadview/37.87,127.70365",,,,,,,
143,265000723,삼천동사거리,126,"https://map.kakao.com/link/roadview/37.87055,127.70345",,,,,,,
